#{"t_start": 1745836911.2286165, "env_id": "None"}
r,l,t
34.3872,24,29.948216
38.4624,24,30.045244
59.0112,24,30.118176
9.144,24,30.184163
34.3872,24,30.231518
57.744,24,30.278437
43.1856,24,30.32573
54.2736,24,30.378983
59.976,24,30.443498
50.688,24,30.496272
54.1008,24,30.54653
39.7152,24,30.590527
79.6752,24,30.633434
21.3264,24,30.687273
46.1232,24,30.736549
57.6288,24,30.778797
57.0096,24,30.822138
83.8944,24,30.88379
63.4464,24,31.041784
53.1936,24,31.11579
75.2976,24,31.192438
74.1888,24,31.246296
53.424,24,31.312303
60.9408,24,31.380683
47.1024,24,31.438966
17.6832,24,31.509776
67.5648,24,31.573731
49.0608,24,31.629295
54.6768,24,31.687553
51.408,24,31.755115
48.8448,24,31.81711
50.0256,24,31.879994
60.84,24,31.950329
44.5536,24,32.010408
31.5936,24,32.061819
46.1232,24,32.120516
54.7776,24,32.18752
61.488,24,32.263657
66.507578,24,32.748972
-28.019777,24,32.794115
-85.656498,24,32.84512
26.043965,24,32.89938
20.31488,24,33.043366
36.514415,24,33.126521
115.467495,24,33.173165
103.2192,24,33.222129
33.317435,24,33.271927
-23.028232,24,33.321697
60.411216,24,33.377525
32.176347,24,33.426108
-65.803744,24,33.469679
26.746902,24,33.512141
76.995126,24,33.555621
77.684127,24,33.60038
46.95994,24,33.646667
-38.044035,24,33.699453
-6.928642,24,33.73984
61.537032,24,33.776439
-73.171433,24,33.854015
-75.728449,24,33.89702
-92.529338,24,33.944022
-65.22747,24,33.988025
-77.966891,24,34.037781
-74.916329,24,34.091457
-128.400799,24,34.131981
-77.601733,24,34.175936
-77.831771,24,34.214662
-52.832911,24,34.252412
-75.637459,24,34.289277
-76.583784,24,34.322001
-65.576435,24,34.361481
-58.041165,24,34.405951
-125.645249,24,34.452447
-87.973451,24,34.494851
-73.665656,24,34.542962
-87.973451,24,34.61222
-105.696508,24,34.665679
-51.374786,24,34.746437
-13.474944,24,34.891395
-54.34474,24,34.945532
-74.151825,24,34.983325
-82.932269,24,35.023124
-49.501578,24,35.058836
-63.603741,24,35.093892
-73.533787,24,35.135902
-76.315612,24,35.172955
-28.682476,24,35.203678
-72.854535,24,35.235662
-66.774582,24,35.265187
-73.533787,24,35.297302
-73.749228,24,35.329953
-57.316515,24,35.364259
-35.314353,24,35.399841
-84.971755,24,35.441694
-85.07692,24,35.474245
-73.533787,24,35.511238
-67.356524,24,35.543688
-66.103558,24,35.579359
-148.215265,24,35.656522
-134.442006,24,35.694981
-98.707008,24,35.728197
-96.560365,24,35.76627
50.2992,24,35.797272
47.1456,24,35.831162
34.92,24,35.866935
-141.037184,24,35.911264
57.168,24,35.948075
46.9008,24,35.98172
36.648,24,36.021675
-147.22928,24,36.054759
56.2032,24,36.081791
-135.448037,24,36.115623
46.1088,24,36.158055
41.7312,24,36.19861
47.6352,24,36.239468
-163.240423,24,36.275037
-134.815916,24,36.309716
41.8752,24,36.34672
59.8464,24,36.422384
61.4448,24,36.460098
34.92,24,36.511377
51.552,24,36.55333
82.9872,24,36.588942
103.2192,24,36.6251
53.8848,24,36.658641
47.0304,24,36.691689
53.9568,24,36.726961
55.296,24,36.769557
10.08,24,36.812365
56.0736,24,36.847183
43.1856,24,36.888843
43.272,24,36.933414
44.5536,24,36.971682
45.1872,24,37.003028
44.9856,24,37.039987
44.8992,24,37.077041
51.0768,24,37.110031
53.9856,24,37.140545
-136.316299,24,37.212885
-98.192468,24,37.252976
-65.477147,24,37.288114
-65.477147,24,37.319374
-110.674219,24,37.350727
