time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/critic_loss
240,5760,-17.703891740000003,29,24.0,193,5659,399.6142578125,0.0003,-8.647446632385254,4.731659889221191,6001.02392578125
244,5856,-19.03409928,29,24.0,196,5755,408.29632568359375,0.0003,-8.799948692321777,4.857898712158203,5913.4638671875
248,5952,-22.60480147,29,24.0,199,5851,422.4103698730469,0.0003,-9.676908493041992,4.986877918243408,5477.45703125
252,6048,-24.63672682,29,24.0,202,5947,436.34393310546875,0.0003,-8.000373840332031,5.115207195281982,4089.807373046875
256,6144,-24.29695378,29,24.0,206,6043,446.419921875,0.0003,-9.867944717407227,5.254578590393066,4706.322265625
260,6240,-25.39635164,29,24.0,209,6139,444.64178466796875,0.0003,-8.857697486877441,5.39514684677124,7023.06494140625
264,6336,-29.367766800000005,29,24.0,212,6235,462.91998291015625,0.0003,-7.866162300109863,5.534791469573975,7601.9306640625
268,6432,-31.65253421,29,24.0,216,6331,482.2285461425781,0.0003,-8.997170448303223,5.682056903839111,7623.154296875
272,6528,-34.644661580000005,29,24.0,219,6427,475.0184326171875,0.0003,-10.901697158813477,5.832176208496094,8724.537109375
276,6624,-36.31936981,29,24.0,222,6523,489.2040100097656,0.0003,-7.42788028717041,5.98444128036499,9573.318359375
280,6720,-38.48218861,29,24.0,225,6619,498.78411865234375,0.0003,-9.95617961883545,6.140014171600342,4380.61181640625
284,6816,-43.5327652,29,24.0,229,6715,507.3064880371094,0.0003,-7.907840251922607,6.303057670593262,8191.46875
288,6912,-48.618643969999994,29,24.0,232,6811,528.8905029296875,0.0003,-9.695062637329102,6.466734886169434,8819.28515625
292,7008,-51.219864519999994,29,24.0,235,6907,525.5773315429688,0.0003,-9.65318775177002,6.638495445251465,13680.478515625
296,7104,-54.402583969999995,29,24.0,239,7003,549.993896484375,0.0003,-8.170543670654297,6.814290523529053,11061.73046875
300,7200,-57.81578766,29,24.0,242,7099,557.69482421875,0.0003,-10.403921127319336,6.994966983795166,10268.6669921875
304,7296,-59.53550859,29,24.0,245,7195,567.7985229492188,0.0003,-10.251870155334473,7.184763431549072,8626.8935546875
308,7392,-64.19658946999999,29,24.0,249,7291,576.0595092773438,0.0003,-8.317521095275879,7.378383636474609,14001.642578125
312,7488,-67.18711625,29,24.0,252,7387,587.037109375,0.0003,-8.721758842468262,7.571427822113037,9940.5615234375
316,7584,-70.86890913,29,24.0,255,7483,600.3412475585938,0.0003,-9.048457145690918,7.773918628692627,12783.732421875
320,7680,-69.13745745,29,24.0,258,7579,631.5767211914062,0.0003,-11.679168701171875,7.98260498046875,12520.447265625
324,7776,-71.64235953,29,24.0,261,7675,622.5031127929688,0.0003,-9.876510620117188,8.200161933898926,11481.509765625
328,7872,-74.95096773,29,24.0,265,7771,636.3284912109375,0.0003,-10.062326431274414,8.420538902282715,16973.15625
332,7968,-76.20211621,29,24.0,268,7867,672.8681640625,0.0003,-9.27405834197998,8.651490211486816,14468.896484375
336,8064,-77.41711821999999,29,24.0,271,7963,679.7560424804688,0.0003,-10.316160202026367,8.884541511535645,15172.50390625
340,8160,-85.3696206,29,24.0,274,8059,679.6282348632812,0.0003,-9.525839805603027,9.129796028137207,21373.1953125
344,8256,-91.95382746999998,29,24.0,278,8155,713.0313720703125,0.0003,-10.20927619934082,9.379955291748047,17860.359375
348,8352,-90.88004772000001,29,24.0,281,8251,744.1476440429688,0.0003,-10.020454406738281,9.630668640136719,23037.1875
352,8448,-93.81674629,29,24.0,284,8347,745.284912109375,0.0003,-9.614744186401367,9.895821571350098,17519.744140625
