#{"t_start": 1745855726.9573295, "env_id": "None"}
r,l,t
79.9776,24,525.588715
51.486273,24,526.348788
51.609294,24,527.112794
78.43984,24,527.879896
92.413652,24,528.63548
91.396422,24,529.392693
51.205396,24,530.136074
50.470708,24,530.924566
72.396719,24,531.697117
60.4368,24,532.458732
122.026179,24,533.201405
55.5984,24,533.969443
79.149323,24,534.753427
118.45767,24,535.521976
116.889902,24,536.270446
131.249916,24,537.030205
103.2192,24,537.78728
55.512,24,538.575273
66.8016,24,539.319577
44.370899,24,540.08901
55.7568,24,540.873816
101.99425,24,541.67976
57.6288,24,542.424832
61.92,24,543.188942
87.696,24,543.971012
45.779052,24,544.731969
47.83994,24,545.497924
80.05636,24,546.255149
75.71763,24,547.024411
90.268244,24,547.769543
44.754652,24,548.53679
57.6288,24,549.288559
153.605617,24,550.04871
64.0944,24,550.806964
-28.320536,24,551.581546
66.528,24,552.3304
35.334027,24,553.101428
50.784014,24,553.850107
65.2752,24,554.6276
59.112,24,555.392784
47.781,24,556.153071
51.409857,24,556.933399
87.696,24,557.87165
40.992735,24,558.627299
96.299507,24,559.412437
37.552365,24,560.165238
54.891328,24,560.959233
87.746498,24,561.714151
179.704484,24,562.524384
55.296,24,563.280488
72.172682,24,564.0429
56.51701,24,564.828974
81.431774,24,565.674682
41.475742,24,566.445823
65.430777,24,567.21016
77.357533,24,568.324184
134.550213,24,569.169549
42.290905,24,569.962518
133.402748,24,570.754979
40.750108,24,571.519666
89.196409,24,572.260172
62.375489,24,573.032287
53.3664,24,573.824069
72.429684,24,574.5896
71.632373,24,575.325284
69.1344,24,576.083349
44.509841,24,576.870642
71.309392,24,577.6438
53.495811,24,578.41476
42.877185,24,579.159025
60.2352,24,579.911981
59.112,24,580.668307
43.55733,24,581.410636
52.884775,24,582.188022
36.129972,24,582.926438
82.726962,24,583.701872
64.901106,24,584.465012
53.712,24,585.212698
53.3664,24,585.974425
61.3872,24,586.759494
61.837494,24,587.538402
57.744,24,588.300258
107.967742,24,589.087437
51.5088,24,589.840338
49.438219,24,590.582061
68.883328,24,591.312635
40.377834,24,592.075418
87.4512,24,592.825095
79.596527,24,593.590034
98.407825,24,594.32737
45.971394,24,595.066102
51.127039,24,595.808181
51.492324,24,596.551487
141.446834,24,597.303376
59.0112,24,598.066816
54.541193,24,598.861882
57.0096,24,599.640145
45.503653,24,600.391796
61.500384,24,601.148255
51.638786,24,601.937541
130.170278,24,602.687906
73.062041,24,603.441223
51.552,24,604.173523
90.9504,24,604.932966
67.028774,24,605.680149
58.1328,24,606.426471
135.309323,24,607.180702
56.2752,24,607.967428
65.474745,24,608.728255
75.283204,24,609.513158
66.528,24,610.28361
57.1104,24,611.08025
48.404355,24,611.857916
93.242827,24,612.6612
84.384,24,613.415438
64.911171,24,614.205872
93.680335,24,614.978174
53.3664,24,615.722474
92.88,24,616.476798
52.018032,24,617.231472
59.112,24,618.030074
43.617174,24,618.826774
49.388669,24,619.608423
60.583904,24,620.372222
56.7936,24,621.196818
44.003409,24,621.963269
87.4512,24,622.740341
36.364746,24,623.510663
56.5632,24,624.276551
144.622538,24,625.025608
66.417767,24,625.80043
32.761391,24,626.577355
56.686597,24,627.328915
53.712,24,628.212982
56.2608,24,629.203867
86.254101,24,629.957102
72.144,24,630.704334
61.488,24,631.445411
73.206379,24,632.186052
45.570868,24,632.95913
64.712819,24,633.811539
67.851703,24,634.576472
52.502486,24,635.319959
59.1984,24,636.106886
58.9968,24,636.877961
41.382937,24,637.655377
55.512,24,638.428821
117.427732,24,639.20239
145.658761,24,639.968001
47.475665,24,640.758842
196.220174,24,641.516738
44.516511,24,642.273973
67.465032,24,643.090053
74.849407,24,643.872677
