time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/critic_loss
396,9504,65.41990806,31,24.0,303,9403,-10.541211128234863,0.0003,-0.0629730224609375,0.11497888714075089,13.024621963500977
400,9600,65.20934103,31,24.0,306,9499,-7.090155124664307,0.0003,-0.37284961342811584,0.1135237067937851,29.77659797668457
404,9696,64.81724261000001,31,24.0,309,9595,-9.470113754272461,0.0003,0.2350650429725647,0.11180155724287033,47.76316452026367
408,9792,64.72784293000001,31,24.0,312,9691,-8.230713844299316,0.0003,0.22578170895576477,0.11086342483758926,44.54340362548828
412,9888,65.0431678,31,24.0,315,9787,-9.957207679748535,0.0003,-0.2693485617637634,0.10961630195379257,9.138275146484375
416,9984,65.02963871,31,24.0,318,9883,-9.219484329223633,0.0003,0.3200952708721161,0.10907875746488571,40.771663665771484
420,10080,65.71752719999999,31,24.0,322,9979,-6.629220962524414,0.0003,-0.20516571402549744,0.1081899106502533,9.838417053222656
424,10176,65.27066583,31,24.0,325,10075,-8.151312828063965,0.0003,0.010318221524357796,0.10725224018096924,15.37846565246582
428,10272,65.09961806,31,24.0,328,10171,-10.58797550201416,0.0003,0.16902552545070648,0.10671257227659225,14.440197944641113
432,10368,64.82616634,31,24.0,331,10267,-11.421295166015625,0.0003,0.21667008101940155,0.10672669112682343,9.002925872802734
436,10464,65.38174434,31,24.0,334,10363,-11.958328247070312,0.0003,-0.050273116677999496,0.10654575377702713,9.106645584106445
440,10560,65.40379155,31,24.0,337,10459,-9.559266090393066,0.0003,0.02674074098467827,0.1062709242105484,35.71308898925781
444,10656,65.54062417999998,31,24.0,340,10555,-8.56489372253418,0.0003,-0.09971226751804352,0.10593674331903458,11.36801815032959
448,10752,66.35744082999999,31,24.0,343,10651,-10.985135078430176,0.0003,-0.16060368716716766,0.10526687651872635,49.06758117675781
452,10848,66.96149396,31,24.0,346,10747,-9.488420486450195,0.0003,-0.18618914484977722,0.10489889234304428,8.053345680236816
456,10944,67.58122847000001,31,24.0,349,10843,-11.616996765136719,0.0003,-0.5427110195159912,0.10443075001239777,9.335271835327148
460,11040,68.31532554999998,31,24.0,353,10939,-12.115646362304688,0.0003,0.40540245175361633,0.10513519495725632,36.783409118652344
464,11136,68.38388315000002,31,24.0,356,11035,-8.97982406616211,0.0003,0.21851156651973724,0.10680802166461945,18.877851486206055
468,11232,67.81276211000001,31,24.0,359,11131,-9.76483154296875,0.0003,0.46353253722190857,0.10916198045015335,20.89485740661621
472,11328,68.41652195,31,24.0,362,11227,-13.698253631591797,0.0003,0.5538678169250488,0.11199222505092621,32.05665588378906
476,11424,67.72666509999999,31,24.0,365,11323,-9.92673397064209,0.0003,0.2073853760957718,0.11606457829475403,12.01970100402832
480,11520,65.50641412,31,24.0,368,11419,-11.369183540344238,0.0003,0.22228574752807617,0.11836116760969162,10.810409545898438
484,11616,65.74661436,31,24.0,371,11515,-7.7727508544921875,0.0003,0.23033946752548218,0.12086227536201477,14.569833755493164
488,11712,66.50604949000001,31,24.0,374,11611,-11.603073120117188,0.0003,0.15604375302791595,0.12353374809026718,16.78287124633789
492,11808,66.32299867,31,24.0,377,11707,-11.77650260925293,0.0003,0.07662083953619003,0.1249055340886116,39.443843841552734
496,11904,66.8386261,31,24.0,380,11803,-12.852418899536133,0.0003,0.1314769983291626,0.127144917845726,22.275203704833984
500,12000,66.80018811,31,24.0,383,11899,-12.099650382995605,0.0003,0.2228536307811737,0.12825225293636322,10.818342208862305
504,12096,67.14613396,31,24.0,387,11995,-11.682514190673828,0.0003,-0.013096906244754791,0.13035444915294647,13.31836986541748
508,12192,67.76705523000001,31,24.0,390,12091,-14.5955810546875,0.0003,0.027421411126852036,0.13215325772762299,10.177207946777344
512,12288,66.77581425,31,24.0,393,12187,-9.078603744506836,0.0003,0.04573849216103554,0.13296517729759216,8.576719284057617
516,12384,66.20597765,31,24.0,396,12283,-13.646316528320312,0.0003,0.36060723662376404,0.1338411122560501,14.812421798706055
520,12480,65.20320515,31,24.0,400,12379,-13.081774711608887,0.0003,0.31149762868881226,0.1350390464067459,9.359189987182617
524,12576,66.53392710999998,31,24.0,403,12475,-14.443826675415039,0.0003,0.13492684066295624,0.13726063072681427,14.361841201782227
528,12672,67.34518026,31,24.0,406,12571,-10.77207088470459,0.0003,0.17224684357643127,0.13895083963871002,21.268672943115234
532,12768,67.40978383,31,24.0,409,12667,-7.759328365325928,0.0003,0.07570300996303558,0.1401972472667694,20.282011032104492
536,12864,67.29502087,31,24.0,412,12763,-13.555871963500977,0.0003,0.06171073019504547,0.1414792388677597,17.238426208496094
540,12960,67.41755086999999,31,24.0,415,12859,-15.686410903930664,0.0003,0.05660046637058258,0.14228183031082153,17.391801834106445
544,13056,67.23571419,31,24.0,418,12955,-14.953544616699219,0.0003,0.17328013479709625,0.14357465505599976,11.811214447021484
548,13152,66.3419831,31,24.0,421,13051,-13.297374725341797,0.0003,0.10163950175046921,0.14478163421154022,15.655383110046387
552,13248,65.44962741,31,24.0,424,13147,-16.41793441772461,0.0003,0.10466650128364563,0.14474140107631683,13.477422714233398
556,13344,64.26405019,31,24.0,427,13243,-10.644637107849121,0.0003,0.046592459082603455,0.14573746919631958,9.908469200134277
560,13440,62.937616689999984,31,24.0,430,13339,-12.313032150268555,0.0003,0.024503737688064575,0.14628425240516663,14.271116256713867
564,13536,63.69749647,31,24.0,434,13435,-11.956243515014648,0.0003,-0.11656025052070618,0.14765959978103638,10.532543182373047
568,13632,64.27355585999999,31,24.0,437,13531,-12.438835144042969,0.0003,-0.10312625765800476,0.14695821702480316,14.668471336364746
572,13728,63.94693326000001,31,24.0,440,13627,-13.122391700744629,0.0003,-0.28943338990211487,0.14586064219474792,6.827171802520752
576,13824,64.11593795000002,31,24.0,443,13723,-10.695882797241211,0.0003,-0.15280725061893463,0.14535240828990936,15.721774101257324
